ad_id,objective,publisher_platform,age,gender,action_type,stat,amount
23849835413720403,,,18-24,male,video_view,value,78.0
23849835413720403,,,18-24,unknown,video_view,value,3.0
23849835413720403,,,25-34,female,video_view,value,277.0
23849835413720403,,,25-34,male,video_view,7d_click,2.0
23849835413720403,,,25-34,male,video_view,value,288.0
23849835413720403,,,25-34,unknown,video_view,value,3.0
23849835413720403,,,35-44,female,video_view,7d_click,1.0
23849835413720403,,,35-44,female,video_view,value,545.0
23849835413720403,,,35-44,male,video_view,7d_click,1.0
23849835413720403,,,35-44,male,video_view,value,359.0
23849835413720403,,,35-44,unknown,video_view,value,46.0
23849835413720403,,,45-54,female,video_view,7d_click,5.0
23849835413720403,,,45-54,female,video_view,value,1024.0
23849835413720403,,,45-54,male,video_view,7d_click,1.0
23849835413720403,,,45-54,male,video_view,value,399.0
23849835413720403,,,45-54,unknown,video_view,value,12.0
23849835413720403,,,55-64,female,video_view,7d_click,2.0
23849835413720403,,,55-64,female,video_view,value,1638.0
23849835413720403,,,55-64,male,video_view,7d_click,4.0
23849835413720403,,,55-64,male,video_view,value,452.0
23849835413720403,,,55-64,unknown,video_view,value,49.0
23853131832640403,OUTCOME_SALES,audience_network,,,video_view,value,14.0
23853131832640403,OUTCOME_SALES,facebook,,,video_view,7d_click,101.0
23853131832640403,OUTCOME_SALES,facebook,,,video_view,value,8396.0
23853131832640403,OUTCOME_SALES,instagram,,,video_view,value,294.0
23853131832640403,,,18-24,female,video_view,value,9.0
23853131832640403,,,25-34,female,video_view,7d_click,3.0
23853131832640403,,,25-34,female,video_view,value,144.0
23853131832640403,,,35-44,female,video_view,7d_click,12.0
23853131832640403,,,35-44,female,video_view,value,1084.0
23853131832640403,,,45-54,female,video_view,7d_click,34.0
23853131832640403,,,45-54,female,video_view,value,2635.0
23853131832640403,,,55-64,female,video_view,7d_click,52.0
23853131832640403,,,55-64,female,video_view,value,4832.0
23853143123430403,OUTCOME_SALES,facebook,,,video_view,7d_click,122.0
23853143123430403,OUTCOME_SALES,facebook,,,video_view,value,15058.0
23853143123430403,OUTCOME_SALES,instagram,,,video_view,7d_click,1.0
23853143123430403,OUTCOME_SALES,instagram,,,video_view,value,513.0
23853143123430403,,,18-24,female,video_view,7d_click,2.0
23853143123430403,,,18-24,female,video_view,value,31.0
23853143123430403,,,25-34,female,video_view,7d_click,5.0
23853143123430403,,,25-34,female,video_view,value,436.0
23853143123430403,,,35-44,female,video_view,7d_click,24.0
23853143123430403,,,35-44,female,video_view,value,3036.0
23853143123430403,,,45-54,female,video_view,7d_click,40.0
23853143123430403,,,45-54,female,video_view,value,5178.0
23853143123430403,,,55-64,female,video_view,7d_click,52.0
23853143123430403,,,55-64,female,video_view,value,6890.0
23853143351830403,OUTCOME_SALES,audience_network,,,video_view,value,22.0
23853143351830403,OUTCOME_SALES,facebook,,,video_view,7d_click,73.0
23853143351830403,OUTCOME_SALES,facebook,,,video_view,value,8646.0
23853143351830403,OUTCOME_SALES,instagram,,,video_view,value,1564.0
23853143351830403,,,18-24,female,video_view,7d_click,4.0
23853143351830403,,,18-24,female,video_view,value,26.0
23853143351830403,,,25-34,female,video_view,value,373.0
23853143351830403,,,35-44,female,video_view,7d_click,17.0
23853143351830403,,,35-44,female,video_view,value,1670.0
23853143351830403,,,45-54,female,video_view,7d_click,27.0
23853143351830403,,,45-54,female,video_view,value,2664.0
