ad_id,objective_count,publisher_platform_count,age_count,gender_count,cartesian_size
120234371040760404,2,5,6,2,120
120223521266540404,2,5,6,2,120
120228290648270404,2,5,6,2,120
120233770681550404,2,5,6,2,120
120233822849230404,2,5,6,2,120
120227976262350404,2,5,6,2,120
120230417237710404,2,5,6,2,120
120230721816270404,2,5,6,2,120
120231198063310404,2,5,6,2,120
120232247909070404,2,5,6,2,120
120226020912760404,2,5,6,2,120
120225177518200404,2,5,6,2,120
120230950164600404,2,5,6,2,120
120232122250360404,2,5,6,2,120
120232123243640404,2,5,6,2,120
120232135613560404,2,5,6,2,120
120232389007480404,2,5,6,2,120
120233774715000404,2,5,6,2,120
