ad_id,objective,publisher_platform,age,gender,action_type,stat,amount
23853143123430403,OUTCOME_SALES,facebook,,,video_view,value,8.0
23853143123430403,OUTCOME_SALES,instagram,,,video_view,value,8.0
23853143123430403,,,18-24,female,video_view,value,7.0
23853143123430403,,,25-34,female,video_view,value,6.0
23853143123430403,,,35-44,female,video_view,value,8.0
23853143123430403,,,45-54,female,video_view,value,9.0
23853143123430403,,,55-64,female,video_view,value,9.0
23853143351830403,OUTCOME_SALES,audience_network,,,video_view,value,9.0
23853143351830403,OUTCOME_SALES,facebook,,,video_view,value,5.0
23853143351830403,OUTCOME_SALES,instagram,,,video_view,value,6.0
23853143351830403,,,18-24,female,video_view,value,6.0
23853143351830403,,,25-34,female,video_view,value,5.0
23853143351830403,,,35-44,female,video_view,value,5.0
23853143351830403,,,45-54,female,video_view,value,6.0
23853143351830403,,,55-64,female,video_view,value,7.0
